KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,StAwal,StMasuk,StKeluar
'8850389108048,'8850389108048,MOGU MOGU MANGGA,BTL,MINUMAN,9000,9000,11000,22.22222,5,9,12
'053314502227,'053314502227,KUSUKA BLACKPEPPER 60G,C,CEMILAN,6000,6000,8000,33.33333,1,12,5
'8994834007354,'8994834007354,FRENCH FRIES LVL 3 60G,C,CEMILAN,6500,6500,8000,23.07692,7,0,5
'089686732030,'089686732030,CHITATO LITE RUMPUT LAUT 68G,C,CEMILAN,9500,9500,12000,26.31579,7,32,33
'089686732054,'089686732054,CHITATO LITE 168G,C,CEMILAN,18500,18500,22000,18.91892,3,0,5
'8991001780638,'8991001780638,TWISTER MINI BLACK 30G,C,CEMILAN,2620,2620,4000,52.67176,8,103,38
'089686401011,'089686401011,INDOFOOD SAMBAL BANGKOK,BM,BUMBU MASAK,7000,7250,9000,28.57143,7,3,2
'FORM,'FORM,FORMULA SG TRENDY,SG,SIKAT GIGI,2708,2708,5000,84.63811,6,0,8
'8997021870137,'8997021870137,FRESH CARE SP FRUITTY,OB,OBAT OBATAN,11500,11500,15000,30.43478,10,18,14
'8997021870052,'8997021870052,FRESH CARE GRREN TEA,OB,OBAT OBATAN,11500,11500,15000,30.43478,5,0,1
'089686611670,'089686611670,QTELA BALADO 60G,C,CEMILAN,6200,5742.86,8000,29.03226,5,25,25
'053314502210,'053314502210,KUSUKA BARBEQUE 60G,C,CEMILAN,6000,6000,8000,33.33333,2,15,13
'053314502234,'053314502234,KUSUKA KEJU BAKAR 60G,C,CEMILAN,6000,6000,8000,33.33333,1,6,10
'8991913101064,'8991913101064,FERRO KRETEK 16,RK,ROKOK,15800,15800,18000,13.92405,7,0,1
'8991906108896,'8991906108896,L.A BOLD 12,RK,ROKOK,16800,16800,19000,13.09524,5,0,1
'8999909004221,'8999909004221,SAMPOERNA ULTRA MILD 16,RK,ROKOK,25600,25600,28000,9.375,5,10,5
'445,'445,GALON BOTOL,AIR,AIR,70000,70000,100000,0,9,0,1
'8997218380159,'8997218380159,ICHITAN BROWN SUGAR 310ML,BTL,MINUMAN,7200,7200,9000,25,6,148,40
'089686729016,'089686729016,MAXICORN ROASTED CORN 55G,C,CEMILAN,4500,4500,6000,33.33333,4,8,9
'089686729054,'089686729054,MAXICORN BARBEQUE 55G,C,CEMILAN,4500,4500,6000,33.33333,4,14,9
'8993004785160,'8993004785160,SMAX RING CHEESE 40G,C,CEMILAN,4000,4000,6000,50,3,35,26
'089686729030,'089686729030,MAXICORB BARBEQUE 150G,C,CEMILAN,9500,8000,13000,30,3,10,14
'089686729023,'089686729023,MAXICORN ROASTED CORN 150G,C,CEMILAN,10000,10000,13000,30,3,6,13
'089686729047,'089686729047,MAXICORN CHEESE 150G,C,CEMILAN,9500,9500,12000,26.31579,3,4,6
'8853301530019,'8853301530019,PEDIGREE BEEF FLAVOUR 13,DOG,DOGFOOD,9000,9000,13000,44.44444,2,4,5
'8853301000277,'8853301000277,PEDIGREE CHICKEN&VEGE FLAVOUR,DOG,DOGFOOD,7000,7000,10000,42.85714,2,2,5
'8853301200899,'8853301200899,PEDIGREE GRILLED LIVER 80,DOG,DOGFOOD,19500,19500,23000,17.94872,2,0,2
'8853301200905,'8853301200905,PEDIGREE ROASTED LAMB 80G,DOG,DOGFOOD,19500,19500,24000,23.07692,2,4,4
'8997228610178,'8997228610178,DAEBAK SOJU LYCHEE,ALC,ALCOHOL,67500,67500,85000,25.92593,5,26,35
'8997228610215,'8997228610215,DAEBAK SOJU ORIGINAL,ALC,ALCOHOL,67500,65666.67,85000,25.92593,5,12,14
'8997228610154,'8997228610154,DAEBAK SOJU MANGO,ALC,ALCOHOL,67500,67500,85000,25.92593,5,29,37
'8997228610161,'8997228610161,DAEBAK SOJU PEACH,ALC,ALCOHOL,67500,67500,85000,25.92593,5,26,41
'8996001600795,'8996001600795,FRIENDSHIP COFEE VODKA,ALC,ALCOHOL,30300,30300,38000,25.41254,24,0,4
'8886467105760,'8886467105760,PRINGLES CHEESY CHEESE 50G,C,CEMILAN,10500,10454.71,14000,33.33333,2,26,14
'8993175535878,'8993175535878,RICHEESE NABATI WAFER 46G,C,CEMILAN,1750,1790.38,3000,71.42857,5,49,40
'089686060126,'089686060126,POP MIE RASA SOTO,MIE,MIE,4375,4375,7000,60,9,13,7
'8992761111533,'8992761111533,SPRITE KLG LEMON LIME 250ML,BTL,MINUMAN,4750,4757.14,7000,47.36842,5,24,58
'8993175542241,'8993175542241,NABATI WAFER PINK LAVA 46G,WFR,WAFFER,1800,1800,3000,76.47059,10,22,13
'8993175537285,'8993175537285,NABATI WAFER RICHEESE 125G,WFR,WAFFER,5000,5000,7000,40,10,15,12
'8997218380166,'8997218380166,ICHITAN THAI COCO WATER 310ML,BTL,MINUMAN,6200,6050,8500,44.0678,7,16,12
'8993175535885,'8993175535885,NABATI WAFER COKLAT 46G,WFR,WAFFER,1750,1768.75,3000,71.42857,7,20,21
'8992982206001,'8992982206001,AIR NESTLE PURE LIFE 600ML,BTL,MINUMAN,1688,1688,4000,136.96682,9,24,12
'8993175546065,'8993175546065,NABATI HANSEL 28G,WFR,WAFFER,1667,1667,3000,79.96401,10,12,10
'8888166603431,'8888166603431,SUPERCO,MKN,MAKANAN,850,850,1500,76.47059,5,194,222
'8998898830125,'8998898830125,KUKUBIMA ENER-G 1 PACK,BTL,MINUMAN,5800,5800,8500,46.55172,5,16,12
'8993200663835,'8993200663835,CIMORY YOUGURT DRINK BLUEBERRY,BTL,MINUMAN,3050,3050,5000,63.93443,8,4,3
'8993200663828,'8993200663828,CIMORY YOUGURT STRAWBERRY,BTL,MINUMAN,3000,3000,5000,66.66667,5,4,4
'089686611854,'089686611854,QTELA TEMPE CABAI RAWIT 55G,MKN,MAKANAN,6100,6100,8000,31.14754,10,3,2
'089686611908,'089686611908,QTELA TEMPE ORIGINAL 55G,MKN,MAKANAN,6000,6000,8000,33.33333,8,3,2
'8994834006951,'8994834006951,TICTAC BAWANG 34G,MKN,MAKANAN,3300,3300,5000,51.51515,10,3,1
'089686598599,'089686598599,CHITATO SAPI BUMBU BAKAR 68G,MKN,MAKANAN,9500,9325,12000,26.31579,7,10,8
'8999178654332,'8999178654332,MAITOS JAGUNG BARBEQUE 140G,MKN,MAKANAN,11200,11200,15000,33.92857,9,4,4
